127.0.0.1 - - [08/May/2020:10:19:19 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/May/2020:10:19:19 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [08/May/2020:10:19:20 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/May/2020:10:19:57 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [08/May/2020:10:21:44 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [08/May/2020:10:23:39 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [08/May/2020:10:23:40 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:24:02 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [08/May/2020:10:24:31 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [08/May/2020:10:27:58 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [08/May/2020:10:27:59 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:27:59 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:27:59 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:00 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:00 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:02 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:06 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:11 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:12 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:12 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:12 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:13 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:26 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:39 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:39 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:40 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:28:45 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:06 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:07 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:07 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:07 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:07 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:08 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:09 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:10 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:10 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:29:17 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [08/May/2020:10:32:33 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [08/May/2020:10:32:55 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [08/May/2020:10:33:00 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:33:01 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [08/May/2020:10:35:44 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [08/May/2020:10:35:45 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:38:20 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [08/May/2020:10:48:37 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:49:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [08/May/2020:10:50:06 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [08/May/2020:10:51:07 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [08/May/2020:10:51:21 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [08/May/2020:10:52:44 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:40 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:49 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:50 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:51 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:52 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:53 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:54 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:54 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:54 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [08/May/2020:10:54:55 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:56:23 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:56:24 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:56:25 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:56:27 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:56:30 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [08/May/2020:10:57:24 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [08/May/2020:10:57:25 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:57:25 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:57:28 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:57:28 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:59:54 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [08/May/2020:10:59:54 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:59:55 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:10:59:55 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:01:13 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:01:14 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:04:07 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2988
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:23 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:24 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:25 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:25 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:35 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:35 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:36 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:36 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:07:37 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
